X,Y,ASSESSMENT,ID_NO,FAM_NAME,SCI_NAME,MONG_NAME,PRESENCE,ORIGIN,SEASONAL,COMPILER,YEAR,CITATION,LEGEND,SUBSPECIES,SUBPOP,DIST_COMM,ISLAND,TAX_COMM
127.5779808,46.50985627,115112605,13430,Cricetidae,Alexandromys fortis,??????? ??????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
100.3491945,34.70757236,115112907,13440,Cricetidae,Alexandromys limnophilus,??????? ??????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
120.6117751,46.32138127,115113061,13442,Cricetidae,Alexandromys maximowiczii,??????? ??????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
105.9465585,48.24960905,115113408,13445,Cricetidae,Alexandromys mongolicus,?????? ??????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
86.86187857,59.09832325,115113894,13451,Cricetidae,Alexandromys oeconomus,??????? ??????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
106.8817018,45.62067826,115198489,42640,Cricetidae,Allocricetulus curtatus,???? ????????,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
91.32608904,47.16220472,22343139,950,Cricetidae,Alticola barakshin,????-?????? ????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
105.378003,46.75644985,115054839,955,Cricetidae,Alticola semicanus,????? ????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
77.55606261,48.90658466,115055112,958,Cricetidae,Alticola strelzowi,??????? ????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
91.82363136,51.65879589,22342594,959,Cricetidae,Alticola tuvinicus,???? ????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
34.28282846,52.23395632,115057408,1888,Muridae,Apodemus agrarius,??????? ???????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
127.6940448,46.06874589,115058828,1899,Muridae,Apodemus peninsulae,????? ???????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
32.36219837,48.11601493,115059444,1905,Muridae,Apodemus uralensis,??? ???????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
91.84720793,40.47363482,12689285,63543,Camelidae,Camelus bactrianus,???????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
98.77151693,43.33473501,12689285,63543,Camelidae,Camelus bactrianus,???????,2,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Probably Extant (resident),,,Occasional range.,,
105.3809339,43.61817506,22202937,3858,Dipodidae,Cardiocranius paradoxus,?????-?????? ??????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
128.1687691,49.06301252,142396828,55997823,Cervidae,Cervus canadensis,?????? ????,1,1,1,IUCN,2018,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
93.10565485,57.1116605,164372228,4975,Cricetidae,Clethrionomys rutilus,??? ????? ??????,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
93.72891801,55.73123834,22373004,4974,Cricetidae,Craseomys rufocanus,??? ????? ??????,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
143.3282112,43.4681772,22373004,4974,Cricetidae,Craseomys rufocanus,??? ????? ??????,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature),Extant (resident),,,,Hokkaido,
141.0281665,45.36322182,22373004,4974,Cricetidae,Craseomys rufocanus,??? ????? ??????,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature),Extant (resident),,,,Rebun,
141.2344663,45.1751385,22373004,4974,Cricetidae,Craseomys rufocanus,??? ????? ??????,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature),Extant (resident),,,,Rishiri,
143.026538,50.1498644,22373004,4974,Cricetidae,Craseomys rufocanus,??? ????? ??????,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature),Extant (resident),,,,Sakhalin,
141.3167959,44.42065434,22373004,4974,Cricetidae,Craseomys rufocanus,??? ????? ??????,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature),Extant (resident),,,,Teuri,
141.4093401,44.43293081,22373004,4974,Cricetidae,Craseomys rufocanus,??? ????? ??????,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature),Extant (resident),,,,Yagishiri,
82.44801001,52.77123573,115072992,5524,Cricetidae,Cricetulus barabensis,??? ????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),barabensis,,,,
115.005111,38.9869355,115072992,5524,Cricetidae,Cricetulus barabensis,??? ????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),griseus,,,,
108.4179319,48.16978505,115072992,5524,Cricetidae,Cricetulus barabensis,??? ????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),pseudogriseus,,,,
102.8910709,43.84880043,115073116,5526,Cricetidae,Cricetulus longicaudatus,????????? ????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
113.8101694,39.53023534,115077696,5617,Soricidae,Crocidura shantungensis,????? ?????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
60.32622839,43.02716808,22296429,29656,Soricidae,Crocidura suaveolens,????? ?????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
4.043861075,39.9527424,22296429,29656,Soricidae,Crocidura suaveolens,????? ?????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,Minorca,
24.47100577,35.31113523,22296429,29656,Soricidae,Crocidura suaveolens,????? ?????????,1,3,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant & Introduced (resident),,,,Crete,
102.1952778,42.79243576,115083487,6705,Dipodidae,Dipus sagitta,???????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
36.59781768,39.9383052,115084761,6858,Gliridae,Dryomys nitedula,??? ????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
66.84768973,27.89774967,115084761,6858,Gliridae,Dryomys nitedula,??? ????????,2,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Probably Extant (resident),,,,,
70.8811891,43.27247502,115085866,7657,Cricetidae,Ellobius tancrei,?????? ??????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
88.27712594,45.38878807,115086020,7782,Cricetidae,Eolagurus luteus,???? ??????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
87.97343048,40.83473549,22004381,41531,Vespertilionidae,Cnephaeus gobiensis,?????? ?????????,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
61.6988559,57.55082037,22116204,7910,Vespertilionidae,Cnephaeus nilssonii,?????? ?????????,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
18.54730228,57.41691662,22116204,7910,Vespertilionidae,Cnephaeus nilssonii,?????? ?????????,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),,,,Gotland,
143.3282112,43.4681772,22116204,7910,Vespertilionidae,Cnephaeus nilssonii,?????? ?????????,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),,,,Hokkaido,
143.0265353,50.1498644,22116204,7910,Vespertilionidae,Cnephaeus nilssonii,?????? ?????????,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),,,,Sakhalin,
146.7120217,43.79694405,22116204,7910,Vespertilionidae,Cnephaeus nilssonii,?????? ?????????,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),,,,Shikotan,
11.69483886,55.53986253,22116204,7910,Vespertilionidae,Cnephaeus nilssonii,?????? ?????????,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),,,,Zealand,
80.22280026,41.96460275,195834153,85199559,Vespertilionidae,Cnephaeus serotinus,????? ?????????,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,
110.5249199,42.79014626,166520460,7951,Equidae,Equus hemionus,?????? ?????,1,1,1,"Kaczensky, P., P. Lkhagvasuren, O. Pereladova, M.-R. Hemami, A. Bouskila",2015,"Kaczensky, P., P. Lkhagvasuren, O. Pereladova, M.-R. Hemami, A. Bouskila. 2015. IUCN Red List assessment of Equus hemionus",Extant (resident),Equus hemionus ssp. hemionus,,survey (Bi 2007) and Bi pers. comm. 2014,,
